V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	4.09239e-06	0.648876	5.77798e-05	1096.051
30.0	3.99245e-06	0.642546	4.75482e-05	1096.05
30.0	3.94067e-06	0.636338	3.91284e-05	1096.039
30.0	3.87124e-06	0.630244	3.21996e-05	1096.049
30.0	3.8393e-06	0.624267	2.64977e-05	1096.053
30.0	3.82704e-06	0.618385	2.18056e-05	1096.058
30.0	3.76858e-06	0.612602	1.79443e-05	1096.055
30.0	3.75725e-06	0.606912	1.47667e-05	1096.057
30.0	3.73272e-06	0.60131	1.21518e-05	1096.04
30.0	3.72096e-06	0.595763	1e-05	1096.074
30.0	3.7251e-06	0.595766	1e-05	1096.048
30.0	3.74585e-06	0.601323	1.21518e-05	1096.066
30.0	3.74808e-06	0.606943	1.47667e-05	1096.051
30.0	3.74667e-06	0.612639	1.79443e-05	1096.055
30.0	3.82327e-06	0.618432	2.18056e-05	1096.052
30.0	3.84052e-06	0.624317	2.64977e-05	1096.068
30.0	3.87903e-06	0.630306	3.21996e-05	1096.06
30.0	3.92901e-06	0.636412	3.91284e-05	1096.067
30.0	3.95815e-06	0.642626	4.75482e-05	1096.054
30.0	4.08128e-06	0.648972	5.77798e-05	1096.053
30.0	4.18752e-06	0.655434	7.02131e-05	1096.067
30.0	4.34387e-06	0.662018	8.53217e-05	1096.069
30.0	4.54753e-06	0.668732	0.000103682	1096.065
30.0	4.81215e-06	0.675565	0.000125992	1096.077
30.0	5.13626e-06	0.682514	0.000153104	1096.057
30.0	5.50181e-06	0.68957	0.000186049	1096.069
30.0	6.18195e-06	0.696731	0.000226083	1096.066
30.0	6.88249e-06	0.70398	0.000274733	1096.077
30.0	7.81076e-06	0.711308	0.000333851	1096.049
30.0	9.12376e-06	0.718705	0.00040569	1096.082
30.0	1.08871e-05	0.726167	0.000492988	1096.074
30.0	1.31625e-05	0.733686	0.00059907	1096.081
30.0	1.60177e-05	0.741256	0.00072798	1096.089
30.0	1.98985e-05	0.748883	0.000884629	1096.07
30.0	2.47113e-05	0.756557	0.00107499	1096.063
30.0	3.09616e-05	0.764321	0.00130631	1096.061
30.0	3.91732e-05	0.772184	0.0015874	1096.057
30.0	4.96122e-05	0.780165	0.00192898	1096.074
30.0	6.27004e-05	0.788316	0.00234407	1096.081
30.0	7.96087e-05	0.796677	0.00284847	1096.077
30.0	0.000100598	0.805326	0.00346142	1096.079
30.0	0.00012675	0.814334	0.00420626	1096.101
30.0	0.00015963	0.823788	0.00511137	1096.083
30.0	0.000200257	0.833807	0.00621125	1096.063
30.0	0.000250795	0.844517	0.00754781	1096.082
30.0	0.00031286	0.856068	0.00917197	1096.086
30.0	0.000388569	0.86862	0.0111456	1096.091
30.0	0.000481038	0.882372	0.013544	1096.081
30.0	0.000593443	0.897493	0.0164584	1096.067
30.0	0.000729841	0.914171	0.02	1096.069
30.0	0.000729648	0.913943	0.02	1096.077
30.0	0.000594631	0.896987	0.0164584	1096.071
30.0	0.000481875	0.88174	0.013544	1096.086
30.0	0.000389295	0.867944	0.0111456	1096.073
30.0	0.000313668	0.855389	0.00917197	1096.071
30.0	0.000251083	0.843844	0.00754781	1096.068
30.0	0.000200673	0.833161	0.00621125	1096.089
30.0	0.000159886	0.823177	0.00511137	1096.082
30.0	0.000126965	0.813769	0.00420626	1096.079
30.0	0.000100591	0.804801	0.00346142	1096.079
30.0	7.94771e-05	0.796202	0.00284847	1096.069
30.0	6.28844e-05	0.787866	0.00234407	1096.075
30.0	4.97301e-05	0.779743	0.00192898	1096.086
30.0	3.92914e-05	0.771788	0.0015874	1096.083
30.0	3.11321e-05	0.763952	0.00130631	1096.084
30.0	2.47784e-05	0.75621	0.00107499	1096.083
30.0	1.99412e-05	0.74857	0.000884629	1096.077
30.0	1.60852e-05	0.740961	0.00072798	1096.084
30.0	1.30863e-05	0.733407	0.00059907	1096.083
30.0	1.08711e-05	0.725907	0.000492988	1096.092
30.0	9.13445e-06	0.718461	0.00040569	1096.09
30.0	7.84366e-06	0.711078	0.000333851	1096.098
30.0	6.8841e-06	0.703765	0.000274733	1096.083
30.0	6.16433e-06	0.696532	0.000226083	1096.095
30.0	5.58894e-06	0.689384	0.000186049	1096.077
30.0	5.14736e-06	0.682342	0.000153104	1096.089
30.0	4.81666e-06	0.675403	0.000125992	1096.081
30.0	4.55997e-06	0.668582	0.000103682	1096.099
30.0	4.34924e-06	0.66188	8.53217e-05	1096.094
30.0	4.19729e-06	0.655305	7.02131e-05	1096.085
30.0	4.08571e-06	0.648856	5.77798e-05	1096.079
30.0	4.01136e-06	0.642523	4.75482e-05	1096.081
30.0	3.9428e-06	0.636314	3.91284e-05	1096.09
30.0	3.90194e-06	0.630219	3.21996e-05	1096.103
30.0	3.84643e-06	0.624239	2.64977e-05	1096.103
30.0	3.81643e-06	0.618366	2.18056e-05	1096.077
30.0	3.77798e-06	0.612581	1.79443e-05	1096.093
30.0	3.75129e-06	0.606892	1.47667e-05	1096.075
30.0	3.75208e-06	0.601287	1.21518e-05	1096.1
30.0	3.71517e-06	0.595739	1e-05	1096.092
30.0	3.7515e-06	0.59574	1e-05	1096.109
30.0	3.72524e-06	0.6013	1.21518e-05	1096.089
30.0	3.75581e-06	0.606916	1.47667e-05	1096.096
30.0	3.77443e-06	0.612614	1.79443e-05	1096.083
30.0	3.78683e-06	0.618406	2.18056e-05	1096.101
30.0	3.84687e-06	0.624296	2.64977e-05	1096.102
30.0	3.85886e-06	0.630282	3.21996e-05	1096.124
30.0	3.93952e-06	0.636386	3.91284e-05	1096.104
30.0	4.0093e-06	0.642607	4.75482e-05	1096.105
30.0	4.06984e-06	0.648945	5.77798e-05	1096.109
30.0	4.2232e-06	0.65541	7.02131e-05	1096.115
30.0	4.33506e-06	0.661997	8.53217e-05	1096.12
30.0	4.59558e-06	0.668709	0.000103682	1096.133
30.0	4.7842e-06	0.675539	0.000125992	1096.097
30.0	5.11235e-06	0.682491	0.000153104	1096.107
30.0	5.52965e-06	0.689549	0.000186049	1096.133
30.0	6.07676e-06	0.696709	0.000226083	1096.112
30.0	6.87452e-06	0.703956	0.000274733	1096.119
30.0	7.83035e-06	0.711287	0.000333851	1096.11
30.0	9.11172e-06	0.718685	0.00040569	1096.104
30.0	1.08782e-05	0.72615	0.000492988	1096.112
30.0	1.31122e-05	0.733668	0.00059907	1096.11
30.0	1.61218e-05	0.741238	0.00072798	1096.121
30.0	1.98519e-05	0.748865	0.000884629	1096.101
30.0	2.4741e-05	0.756536	0.00107499	1096.114
30.0	3.11614e-05	0.764308	0.00130631	1096.116
30.0	3.91775e-05	0.772172	0.0015874	1096.118
30.0	4.96791e-05	0.780151	0.00192898	1096.117
30.0	6.25615e-05	0.788302	0.00234407	1096.12
30.0	7.95524e-05	0.796666	0.00284847	1096.107
30.0	0.000100633	0.805312	0.00346142	1096.131
30.0	0.000126871	0.814313	0.00420626	1096.118
30.0	0.000159439	0.823769	0.00511137	1096.127
30.0	0.000200265	0.833779	0.00621125	1096.119
30.0	0.000250794	0.844495	0.00754781	1096.116
30.0	0.00031324	0.856051	0.00917197	1096.118
30.0	0.000388439	0.8686	0.0111456	1096.147
30.0	0.000481417	0.882357	0.013544	1096.121
30.0	0.000593486	0.897483	0.0164584	1096.145
30.0	0.000729078	0.914146	0.02	1096.136
30.0	0.000729912	0.913939	0.02	1096.129
30.0	0.000594365	0.896988	0.0164584	1096.12
30.0	0.000481628	0.881727	0.013544	1096.125
30.0	0.000389548	0.867926	0.0111456	1096.122
30.0	0.00031309	0.855372	0.00917197	1096.111
30.0	0.000251105	0.843826	0.00754781	1096.123
30.0	0.000200828	0.833146	0.00621125	1096.113
30.0	0.000159898	0.823166	0.00511137	1096.134
30.0	0.000127106	0.813751	0.00420626	1096.109
30.0	0.000100752	0.80478	0.00346142	1096.124
30.0	7.96245e-05	0.796176	0.00284847	1096.13
30.0	6.299e-05	0.787841	0.00234407	1096.126
30.0	4.95698e-05	0.779733	0.00192898	1096.115
30.0	3.92655e-05	0.771778	0.0015874	1096.122
