V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.73065e-06	0.631134	3.21996e-05	1094.436
30.0	3.72886e-06	0.625169	2.64977e-05	1094.427
30.0	3.67974e-06	0.6193	2.18056e-05	1094.447
30.0	3.68512e-06	0.613527	1.79443e-05	1094.419
30.0	3.65646e-06	0.607852	1.47667e-05	1094.442
30.0	3.612e-06	0.602255	1.21518e-05	1094.436
30.0	3.62256e-06	0.596716	1e-05	1094.436
30.0	3.63458e-06	0.596715	1e-05	1094.441
30.0	3.63958e-06	0.602275	1.21518e-05	1094.444
30.0	3.61867e-06	0.607877	1.47667e-05	1094.434
30.0	3.66747e-06	0.613572	1.79443e-05	1094.439
30.0	3.66407e-06	0.619352	2.18056e-05	1094.435
30.0	3.71452e-06	0.625223	2.64977e-05	1094.442
30.0	3.76333e-06	0.6312	3.21996e-05	1094.438
30.0	3.81376e-06	0.637293	3.91284e-05	1094.464
30.0	3.8495e-06	0.643507	4.75482e-05	1094.457
30.0	3.9529e-06	0.649828	5.77798e-05	1094.443
30.0	4.06484e-06	0.656275	7.02131e-05	1094.469
30.0	4.17479e-06	0.662851	8.53217e-05	1094.456
30.0	4.41005e-06	0.669551	0.000103682	1094.44
30.0	4.65922e-06	0.676373	0.000125992	1094.447
30.0	4.97192e-06	0.683308	0.000153104	1094.453
30.0	5.37529e-06	0.690352	0.000186049	1094.451
30.0	5.97426e-06	0.697499	0.000226083	1094.439
30.0	6.74242e-06	0.704737	0.000274733	1094.43
30.0	7.73637e-06	0.712053	0.000333851	1094.45
30.0	9.12456e-06	0.719443	0.00040569	1094.447
30.0	1.0762e-05	0.726891	0.000492988	1094.448
30.0	1.29574e-05	0.734403	0.00059907	1094.456
30.0	1.5889e-05	0.741964	0.00072798	1094.44
30.0	1.96843e-05	0.749578	0.000884629	1094.446
30.0	2.46144e-05	0.757251	0.00107499	1094.456
30.0	3.09895e-05	0.765004	0.00130631	1094.458
30.0	3.90945e-05	0.772861	0.0015874	1094.441
30.0	4.95314e-05	0.780836	0.00192898	1094.445
30.0	6.25986e-05	0.788979	0.00234407	1094.459
30.0	7.93058e-05	0.797342	0.00284847	1094.449
30.0	0.00010027	0.805986	0.00346142	1094.453
30.0	0.000126791	0.814986	0.00420626	1094.462
30.0	0.00015911	0.82444	0.00511137	1094.456
30.0	0.000199866	0.83446	0.00621125	1094.463
30.0	0.000250362	0.845173	0.00754781	1094.434
30.0	0.000312697	0.856737	0.00917197	1094.46
30.0	0.000388037	0.869285	0.0111456	1094.457
30.0	0.000481054	0.883049	0.013544	1094.445
30.0	0.000593248	0.898198	0.0164584	1094.447
30.0	0.000729227	0.914892	0.02	1094.421
30.0	0.000728741	0.914685	0.02	1094.454
30.0	0.000593681	0.897715	0.0164584	1094.474
30.0	0.000481424	0.882444	0.013544	1094.457
30.0	0.000388975	0.86864	0.0111456	1094.472
30.0	0.000313396	0.856083	0.00917197	1094.457
30.0	0.000251132	0.844524	0.00754781	1094.474
30.0	0.000200932	0.833834	0.00621125	1094.468
30.0	0.000159694	0.823844	0.00511137	1094.477
30.0	0.000126723	0.814425	0.00420626	1094.469
30.0	0.000100556	0.805455	0.00346142	1094.467
30.0	7.96181e-05	0.796857	0.00284847	1094.472
30.0	6.28e-05	0.788524	0.00234407	1094.468
30.0	4.95482e-05	0.780407	0.00192898	1094.463
30.0	3.91017e-05	0.772468	0.0015874	1094.481
30.0	3.09893e-05	0.76464	0.00130631	1094.461
30.0	2.46577e-05	0.756907	0.00107499	1094.465
30.0	1.97636e-05	0.749266	0.000884629	1094.442
30.0	1.59134e-05	0.741665	0.00072798	1094.478
30.0	1.30091e-05	0.734125	0.00059907	1094.47
30.0	1.0754e-05	0.726633	0.000492988	1094.467
30.0	9.03525e-06	0.719201	0.00040569	1094.466
30.0	7.73465e-06	0.711826	0.000333851	1094.485
30.0	6.74483e-06	0.704524	0.000274733	1094.468
30.0	6.05167e-06	0.697299	0.000226083	1094.467
30.0	5.43964e-06	0.69017	0.000186049	1094.473
30.0	5.03249e-06	0.683138	0.000153104	1094.463
30.0	4.69218e-06	0.676217	0.000125992	1094.471
30.0	4.41305e-06	0.669402	0.000103682	1094.471
30.0	4.22477e-06	0.662712	8.53217e-05	1094.469
30.0	4.07028e-06	0.656152	7.02131e-05	1094.472
30.0	3.98101e-06	0.649708	5.77798e-05	1094.471
30.0	3.89425e-06	0.643395	4.75482e-05	1094.486
30.0	3.816e-06	0.637194	3.91284e-05	1094.482
30.0	3.77468e-06	0.63111	3.21996e-05	1094.464
30.0	3.72484e-06	0.625143	2.64977e-05	1094.459
30.0	3.68657e-06	0.61928	2.18056e-05	1094.495
30.0	3.68715e-06	0.613507	1.79443e-05	1094.481
30.0	3.63202e-06	0.607828	1.47667e-05	1094.474
30.0	3.63873e-06	0.602231	1.21518e-05	1094.469
30.0	3.57355e-06	0.596687	1e-05	1094.475
