N	R	I
360	1094.06	9.7e-05
361	1094.09	9.7e-05
362	1094.05	9.7e-05
363	1094.07	9.7e-05
364	1094.03	9.7e-05
365	1094.06	9.7e-05
366	1094.06	9.7e-05
367	1094.04	9.7e-05
368	1094.05	9.7e-05
369	1094.05	9.7e-05
370	1094.07	9.7e-05
371	1094.06	9.7e-05
372	1094.05	9.7e-05
373	1094.07	9.7e-05
374	1094.07	9.7e-05
375	1094.06	9.7e-05
376	1094.08	9.7e-05
377	1094.07	9.7e-05
378	1094.07	9.7e-05
379	1094.06	9.7e-05
380	1094.08	9.7e-05
381	1094.08	9.7e-05
382	1094.07	9.7e-05
383	1094.09	9.7e-05
384	1094.08	9.7e-05
385	1094.09	9.7e-05
386	1094.09	9.7e-05
387	1094.12	9.7e-05
388	1094.11	9.7e-05
389	1094.13	9.7e-05
390	1094.09	9.7e-05
391	1094.11	9.7e-05
392	1094.11	9.7e-05
393	1094.11	9.7e-05
394	1094.09	9.7e-05
395	1094.11	9.7e-05
396	1094.11	9.7e-05
397	1094.11	9.7e-05
398	1094.1	9.7e-05
399	1094.13	9.7e-05
400	1094.13	9.7e-05
401	1094.09	9.7e-05
