N	R	I
449	1080.42	9.7e-05
450	1080.39	9.7e-05
451	1080.41	9.7e-05
452	1080.41	9.7e-05
453	1080.41	9.7e-05
454	1080.44	9.7e-05
455	1080.4	9.7e-05
456	1080.41	9.7e-05
457	1080.4	9.7e-05
458	1080.41	9.7e-05
459	1080.41	9.7e-05
460	1080.41	9.7e-05
461	1080.41	9.7e-05
462	1080.42	9.7e-05
463	1080.4	9.7e-05
464	1080.41	9.7e-05
465	1080.43	9.7e-05
466	1080.39	9.7e-05
467	1080.43	9.7e-05
468	1080.43	9.7e-05
469	1080.4	9.7e-05
470	1080.4	9.7e-05
471	1080.42	9.7e-05
472	1080.42	9.7e-05
473	1080.43	9.7e-05
474	1080.44	9.7e-05
475	1080.44	9.7e-05
476	1080.47	9.7e-05
477	1080.45	9.7e-05
478	1080.45	9.7e-05
479	1080.43	9.7e-05
480	1080.44	9.7e-05
481	1080.44	9.7e-05
482	1080.45	9.7e-05
483	1080.42	9.7e-05
484	1080.41	9.7e-05
485	1080.41	9.7e-05
486	1080.41	9.7e-05
487	1080.42	9.7e-05
488	1080.42	9.7e-05
489	1080.41	9.7e-05
490	1080.45	9.7e-05
491	1080.45	9.7e-05
492	1080.45	9.7e-05
493	1080.43	9.7e-05
494	1080.43	9.7e-05
495	1080.43	9.7e-05
496	1080.43	9.7e-05
497	1080.42	9.7e-05
498	1080.42	9.7e-05
499	1080.42	9.7e-05
500	1080.44	9.7e-05
501	1080.45	9.7e-05
502	1080.43	9.7e-05
503	1080.43	9.7e-05
504	1080.41	9.7e-05
505	1080.42	9.7e-05
506	1080.42	9.7e-05
507	1080.4	9.7e-05
508	1080.39	9.7e-05
509	1080.41	9.7e-05
510	1080.41	9.7e-05
511	1080.42	9.7e-05
512	1080.45	9.7e-05
513	1080.4	9.7e-05
514	1080.4	9.7e-05
515	1080.42	9.7e-05
516	1080.42	9.7e-05
517	1080.44	9.7e-05
518	1080.42	9.7e-05
519	1080.43	9.7e-05
520	1080.42	9.7e-05
521	1080.41	9.7e-05
522	1080.42	9.7e-05
523	1080.42	9.7e-05
524	1080.41	9.7e-05
525	1080.42	9.7e-05
526	1080.41	9.7e-05
527	1080.41	9.7e-05
528	1080.41	9.7e-05
529	1080.4	9.7e-05
530	1080.42	9.7e-05
531	1080.41	9.7e-05
532	1080.41	9.7e-05
533	1080.42	9.7e-05
534	1080.44	9.7e-05
535	1080.39	9.7e-05
536	1080.41	9.7e-05
537	1080.4	9.7e-05
538	1080.41	9.7e-05
539	1080.42	9.7e-05
540	1080.41	9.7e-05
541	1080.4	9.7e-05
542	1080.42	9.7e-05
543	1080.44	9.7e-05
544	1080.42	9.7e-05
545	1080.43	9.7e-05
546	1080.42	9.7e-05
547	1080.44	9.7e-05
548	1080.41	9.7e-05
549	1080.43	9.7e-05
550	1080.42	9.7e-05
551	1080.46	9.7e-05
552	1080.42	9.7e-05
553	1080.41	9.7e-05
554	1080.41	9.7e-05
555	1080.45	9.7e-05
556	1080.44	9.7e-05
557	1080.41	9.7e-05
558	1080.4	9.7e-05
559	1080.42	9.7e-05
560	1080.41	9.7e-05
561	1080.42	9.7e-05
562	1080.42	9.7e-05
563	1080.41	9.7e-05
564	1080.43	9.7e-05
565	1080.42	9.7e-05
566	1080.45	9.7e-05
567	1080.41	9.7e-05
568	1080.43	9.7e-05
569	1080.42	9.7e-05
570	1080.43	9.7e-05
571	1080.44	9.7e-05
572	1080.43	9.7e-05
573	1080.42	9.7e-05
574	1080.41	9.7e-05
575	1080.4	9.7e-05
576	1080.4	9.7e-05
577	1080.41	9.7e-05
578	1080.42	9.7e-05
579	1080.42	9.7e-05
580	1080.42	9.7e-05
581	1080.4	9.7e-05
582	1080.43	9.7e-05
583	1080.44	9.7e-05
584	1080.43	9.7e-05
585	1080.44	9.7e-05
586	1080.42	9.7e-05
587	1080.43	9.7e-05
588	1080.44	9.7e-05
589	1080.4	9.7e-05
590	1080.39	9.7e-05
591	1080.41	9.7e-05
592	1080.42	9.7e-05
593	1080.42	9.7e-05
594	1080.45	9.7e-05
595	1080.43	9.7e-05
596	1080.42	9.7e-05
597	1080.44	9.7e-05
598	1080.44	9.7e-05
599	1080.44	9.7e-05
600	1080.43	9.7e-05
601	1080.43	9.7e-05
602	1080.41	9.7e-05
603	1080.41	9.7e-05
604	1080.41	9.7e-05
605	1080.44	9.7e-05
606	1080.43	9.7e-05
607	1080.39	9.7e-05
608	1080.42	9.7e-05
609	1080.4	9.7e-05
610	1080.41	9.7e-05
611	1080.4	9.7e-05
612	1080.42	9.7e-05
613	1080.43	9.7e-05
614	1080.44	9.7e-05
615	1080.43	9.7e-05
616	1080.42	9.7e-05
617	1080.44	9.7e-05
618	1080.41	9.7e-05
