V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	4.28463e-06	0.662249	8.53217e-05	1095.582
30.0	4.48822e-06	0.668956	0.000103682	1095.587
30.0	4.72938e-06	0.675789	0.000125992	1095.589
30.0	5.09419e-06	0.682735	0.000153104	1095.596
30.0	5.51865e-06	0.689786	0.000186049	1095.599
30.0	6.12179e-06	0.696939	0.000226083	1095.589
30.0	6.88655e-06	0.70419	0.000274733	1095.587
30.0	7.81315e-06	0.711509	0.000333851	1095.604
30.0	9.14454e-06	0.718907	0.00040569	1095.582
30.0	1.08696e-05	0.726362	0.000492988	1095.592
30.0	1.30644e-05	0.73388	0.00059907	1095.586
30.0	1.59949e-05	0.741445	0.00072798	1095.578
30.0	1.97921e-05	0.749068	0.000884629	1095.594
30.0	2.46679e-05	0.756744	0.00107499	1095.593
30.0	3.11492e-05	0.764512	0.00130631	1095.581
30.0	3.92031e-05	0.77237	0.0015874	1095.607
30.0	4.96597e-05	0.780349	0.00192898	1095.574
30.0	6.28441e-05	0.788499	0.00234407	1095.594
30.0	7.94138e-05	0.79686	0.00284847	1095.58
30.0	0.000100463	0.805502	0.00346142	1095.587
30.0	0.0001271	0.814511	0.00420626	1095.585
30.0	0.000159804	0.823962	0.00511137	1095.601
30.0	0.000200584	0.833977	0.00621125	1095.599
30.0	0.000251156	0.844692	0.00754781	1095.609
30.0	0.000312921	0.856243	0.00917197	1095.596
30.0	0.000388805	0.868803	0.0111456	1095.592
30.0	0.000481725	0.882537	0.013544	1095.599
30.0	0.000594181	0.897675	0.0164584	1095.601
30.0	0.000730259	0.914348	0.02	1095.592
30.0	0.000730709	0.914172	0.02	1095.611
30.0	0.000594833	0.897244	0.0164584	1095.604
30.0	0.000482141	0.881994	0.013544	1095.595
30.0	0.000389519	0.868193	0.0111456	1095.626
30.0	0.000313479	0.855623	0.00917197	1095.596
30.0	0.000251391	0.844083	0.00754781	1095.614
30.0	0.000200804	0.833385	0.00621125	1095.609
30.0	0.000160054	0.823395	0.00511137	1095.614
30.0	0.00012705	0.813972	0.00420626	1095.622
30.0	0.000100742	0.804999	0.00346142	1095.633
30.0	7.96732e-05	0.796386	0.00284847	1095.618
30.0	6.28639e-05	0.788059	0.00234407	1095.635
30.0	4.96429e-05	0.779939	0.00192898	1095.606
30.0	3.92688e-05	0.771986	0.0015874	1095.624
30.0	3.11993e-05	0.764157	0.00130631	1095.612
30.0	2.47712e-05	0.756417	0.00107499	1095.625
30.0	1.99337e-05	0.748763	0.000884629	1095.606
30.0	1.61147e-05	0.741158	0.00072798	1095.624
30.0	1.31114e-05	0.733608	0.00059907	1095.616
30.0	1.08853e-05	0.726108	0.000492988	1095.623
